Process,Narrative,SME Hazard Type Label,,SME Severity Label
QSI Observation,22-ZV-2064 (Hot Oil) to B91-E-0205 (Feed Heater):- A leak sign through and on the insulation material which is on the valve body and hot oil spilled area on the ground under the valve.- PRIORITY,Safety - fire and explosion,,3C
QSI Observation,"Lean Amine Coolers (B91-E-0202 A and B91-E-0202B):- ?É¬¢?Ç‚Ç¨?Ç¬¢ Very slippery floor on the platform grating , Stairway, Ladders & piping component around due to waste water spilled during hydrojet cleaning.- ?É¬¢?Ç‚Ç¨?Ç¬¢ Falling hazards.",Safety - slip trip and fall,,
Employee Suggestion,I suggest to Paint OWS cash basin vent and man hole sump cover with yellow color at area .,Safety - slip trip and fall,,
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Remove left over materials near hot oil expansion tank,None,,
QSI Observation,"B91-E-0205 ( Feed Heater) :- Shell to Shell cover joint (G4) , A leak observed and hot oil spilled on the ground next to the concrete foundation",Safety - contact with chemicals,,
Employee Suggestion,Change the place of safety shower or place new safety shower near by Hypochlorite Dosing Tank in STP area.,Safety - contact with chemicals,,
Near Miss,oil spil inside chmical storage,Safety - contact with chemicals,,2C
QSI Observation,B95-G-0006A-E skid need cleaning and the inspection wind cover on the lube oil skid removed need to be re installed,Safety - slip trip and fall,,
Employee Suggestion,we need loud lifter on PZV skid to loud PZVs and other materials,None - minor maintenance,,1C
Employee Suggestion,I suggest to add Electrical crane in RO building at chlorine Tank D-0651 to be easy to refill small drums in the dosing Tank,Safety - contact with chemicals,,2C
QSI Observation,"The diesel fuel tank at the Emergency Diesel Generator Building (Bldg. #134) exceeds the limit of 240 gallons per control area, as per International Building Code (IBC) Table 307-1, however no sprinkler system is available at the site. Review and per",Safety - fire and explosion,,
Employee Suggestion,Sample box to keep the samples in safe and proper location outside the operator shelter or OME Bld.To install sample box outside the operator shelter or OME Bld.,None - minor maintenance,,
Employee Suggestion,I?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢d like to share with u my recommendation to have PM check for some Safety item on our SNGL Plant to be conducted by our maintenance proponent Metal Craft work center on fixed cycle such as below: -Fire Hose reel PM -Fire Hose CABINETS PM -FIRE EX,Safety - fire and explosion,,
Employee Suggestion,I suggest to install fire extinguisher in the new Parking Shelter near by SNGL computer gate in case fire event .,Safety - fire and explosion,,
QSI Observation,"B48 area, add all RVs that located inside the turbine compartment room and inside the lube oil tanks under maintenance monitoring system and create M3 notifications for them.",None - minor maintenance,,
QSI Observation,Pipe rack between HOT oil line and Neutralization pit has missing plug.,Safety - fire and explosion,,
Employee Suggestion,"Currently, the inlet ZVs from GOSPs trunk lines (ZV-4010, ZV-5010, ZV-6010, and ZV-7010) have no differential pressure indicator to alert the DCS operator before opening ZVs while there is differential pressure around slug catchers ZVs .My suggestion",Safety - fire and explosion,,
Employee Suggestion,Put burn caution sign ( hot surface sticker ) nearby all Electric ovens in shyabah NGL plant .,Safety - electric,,
Employee Suggestion,CCR building #100 has no fire blanket at DCS engineer room have many cabinets for system .,Safety - fire and explosion,,
QSI Observation,"Check the inspections for fire protection equipment including fire extinguishers per G.I 1781.001- Supplement, 01; Inspections by Proponent is overdue for some fire hose reels in the Plant B91-LHR-110/111.",Safety - fire and explosion,,
QSI Observation,Minor gas leak inside SC-110 flash gas sampling box from tube connections.,Safety - contact with chemicals,,
Employee Suggestion,fire extinguisher in said Smoking shelter in gas treat unite,Safety - fire and explosion,,
QSI Observation,Instruct all personnel on avoiding block any safety or fire protection device and exit doors. We observed fire extinguisher B92-PE-1061 and chemical storage building West side door being blocked by drum trolleys.,Safety - fire and explosion,,
Employee Suggestion,There is ladder for G-0042A suction valve without safety guard.I suggest to install safety guard to this ladder.,Safety - slip trip and fall,,
